"","species","acs","trt","Estimate","Est.Error","low95","high95"
"116","S. chilense","LA2884","L",35.437857494057,2.57719750626551,30.2409436914695,40.3319824766055
"117","S. chmielewskii","LA1306","L",29.7008702922163,2.46513109273603,24.5855392164681,34.4167736848393
"118","S. chmielewskii","LA2663","L",28.8999468374265,2.43070618166518,23.9457022379056,33.6527278989009
"119","S. pennellii","LA2560","L",33.5395539900272,3.72842561335787,26.2358509366615,40.6941279605496
"120","S. peruvianum","LA446","L",33.5924002807226,2.78753243534925,27.9370193200149,39.0456077061762
"121","S. peruvianum","LA1954","L",41.4899497928953,2.38489877966345,36.5476847716377,46.0094374124403
"122","S. chilense","LA1969","L",26.6824022416929,2.65765271017553,21.3360473973402,31.8038896935071
"123","S. chilense","LA2891","L",40.196678591053,2.68398634498088,34.794579680656,45.3727132406421
"124","S. chmielewskii","LA1316","L",42.7533597328385,2.44718719855475,37.7325092809137,47.4733779065989
"125","S. chmielewskii","LA2695","L",32.0212073135751,2.40561971988249,27.0199373259372,36.6096157760943
"126","S. habrochaites","LA1691","L",30.0930908025836,2.76271488191706,24.6489822127477,35.401285144897
"127","S. habrochaites","LA2204","L",31.9629711125831,2.56332624481802,26.8355184189544,36.830710131586
"133","S. habrochaites","LA361","L",36.0070791873533,2.57598074859056,30.8274978190292,40.9173312819308
"134","S. habrochaites","LA1918","L",37.4889917951333,2.91842057966981,31.5740349399857,43.1656678869571
"141","S. habrochaites","LA1361","L",36.6840645759892,2.4874312752419,31.6800193521257,41.4331714868516
"142","S. habrochaites","LA1928","L",23.3520388500083,5.26251247109038,12.9449597218402,33.6381145336328
"148","S. habrochaites","LA1363","L",29.3803034150908,2.48401109154256,24.3700744264269,34.1944494315769
"268","S. habrochaites","LA2167","L",30.6577077576509,2.43938787013277,25.7052761369518,35.3563839319746
"300","S. pennellii","LA716","L",27.5116254549264,3.38020572218738,20.8150116799654,34.081321784204
"361","S. pennellii","LA716","H",19.0980152934091,3.69195253038028,11.9509201484168,26.4542926496086
