"","species","acs","trt","Estimate","Est.Error","low95","high95"
"109","S. chilense","LA2773","L",30.9214722131325,2.56070844508879,25.8177406436346,35.8962679790464
"110","S. chmielewskii","LA1028","L",21.4804986090003,2.82345318154963,15.7694021807028,27.0005218983307
"111","S. chmielewskii","LA1318","L",36.147121407575,2.74341522612405,30.7296939446864,41.6022660504775
"112","S. pennellii","LA1912","L",21.4053144203719,2.84250435609344,15.6854294614607,26.9941941196871
"113","S. pennellii","LA3791","L",16.8362020754401,2.72287252644282,11.3762207810899,22.2088515823674
"114","S. peruvianum","LA1474","L",23.4945402059853,2.53631874535321,18.3591211874958,28.3392615441626
"115","S. chilense","LA1958","L",26.7105082734828,2.66496868638457,21.3186229311661,31.869907628479
"116","S. chilense","LA2884","L",19.6133084930428,2.73352578145045,14.1677890512996,24.8908760668682
"117","S. chmielewskii","LA1306","L",28.540653844134,2.58470506162352,23.3847231831956,33.4931289915274
"118","S. chmielewskii","LA2663","L",25.7749865228739,2.57228736950091,20.7028525172455,30.7509267719271
"119","S. pennellii","LA2560","L",32.3727240988236,4.30494220131263,23.9777669455344,40.7783058283812
"120","S. peruvianum","LA446","L",29.974970962972,3.05609283135037,24.0341796487104,35.9315166048876
"121","S. peruvianum","LA1954","L",29.6727224900522,2.48183756738987,24.7601316972385,34.564619942647
"122","S. chilense","LA1969","L",21.4408735314706,2.87736287366579,15.793170644675,26.9814681922511
"123","S. chilense","LA2891","L",28.1518590774356,2.90776512948861,22.3307285585834,33.8281770285178
"124","S. chmielewskii","LA1316","L",20.430890860995,2.62367912838782,15.1902811249656,25.5760293674209
"125","S. chmielewskii","LA2695","L",20.6226362778487,2.48112085956403,15.6329549126221,25.4819275982064
"126","S. habrochaites","LA1691","L",16.8759978712632,2.98238596048709,11.0062452367353,22.6957644878637
"127","S. habrochaites","LA2204","L",35.0907306431644,2.6647397379398,29.7993200212897,40.2796411947867
"133","S. habrochaites","LA361","L",42.1882507237097,2.79747789890132,36.5788332755217,47.6529566451369
"134","S. habrochaites","LA1918","L",18.8084371598294,3.20956769660764,12.5277364831099,25.1063156650097
"141","S. habrochaites","LA1361","L",42.5536551804549,2.65005673624905,37.2961321586206,47.7422566463202
"142","S. habrochaites","LA1928","L",21.9862925720214,6.33420877714714,9.79835109874152,34.2075096232623
"148","S. habrochaites","LA1363","L",38.1591063559012,2.62831068669916,32.868141898023,43.2771098208527
"268","S. habrochaites","LA2167","L",25.9307627820604,2.54824247291258,20.8732893329822,30.8463832541856
"300","S. pennellii","LA716","L",18.8855575452429,3.96555971429025,11.1523812480213,26.6048877427674
"361","S. pennellii","LA716","H",6.48635398389774,4.5491892832252,-2.5743924671053,15.2914270621692
