"","species","trt","Estimate","Est.Error","low95","high95"
"1","S. pennellii","H",6.24107371760614,2.38633010793495,1.72369550047946,11.2776326256006
"2","S. peruvianum","H",13.7958913527403,2.20701293494236,9.65998723506993,18.5213763348455
"4","S. chilense","H",6.23907200790031,2.17866575269536,2.11464354663717,10.8593353924438
"6","S. chmielewskii","H",14.0188853353589,2.17459780387555,9.89715634232128,18.6480022827456
"7","S. habrochaites","H",15.230543816305,2.16131034277216,11.1577107920462,19.8576875568555
"99","S. pennellii","L",23.7729391263778,3.64227056914593,16.5415634214526,30.930928429898
"100","S. peruvianum","L",31.0458016869773,3.49733374911419,24.0533384917199,37.7323443522
"102","S. chilense","L",25.5280868952958,3.25704222291982,18.7874241551556,31.7415092235339
"104","S. chmielewskii","L",27.1038731530677,3.49825085999011,19.8727335868993,33.7883390652105
"126","S. habrochaites","L",30.3378712607233,3.35385834772989,23.5529072397855,36.9394765552526
